index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
842	located_on_h3_cell	891f038639bffff	h3place	https://www.openstreetmap.org/relation/7149035	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
843	located_on_h3_cell	891f0387637ffff	h3place	https://www.openstreetmap.org/way/182163330	osmplace	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
844	hasOSMTag	891f0387607ffff	h3place	roofer	osmtag	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
845	hasOSMTag	sports_centre	osmtag	891f038633bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
846	hasOSMTag	school	osmtag	891f03b841bffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
847	located_on_h3_cell	891f03b0c8bffff	h3place	https://www.openstreetmap.org/way/504746601	osmplace	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
848	hasOSMTag	place_of_worship	osmtag	891f03b00c3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
849	hasOSMTag	gardener	osmtag	891f03b0607ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
850	hasOSMTag	place_of_worship	osmtag	891f0386a63ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
851	hasOSMTag	playground	osmtag	891f0386333ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
852	located_on_h3_cell	891f03b0603ffff	h3place	https://www.openstreetmap.org/way/457748938	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
853	located_on_h3_cell	891f0386ea7ffff	h3place	https://www.openstreetmap.org/way/694091173	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
854	located_on_h3_cell	https://www.openstreetmap.org/way/456966603	osmplace	891f0386163ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
