index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
625	hasOSMTag	891f02aa643ffff	h3place	doctors	osmtag	False		Services_POS_amenity around (Wismar) radius=15.0	1.0
626	located_on_h3_cell	https://www.openstreetmap.org/relation/11980999	osmplace	891f02b340fffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
627	hasOSMTag	skateboard	osmtag	891f02b8cd7ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
628	hasOSMTag	891f0285eb3ffff	h3place	equestrian	osmtag	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
629	located_on_h3_cell	891f02a354fffff	h3place	https://www.openstreetmap.org/relation/11975125	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
630	hasOSMTag	891f02b262fffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	2.0
631	located_on_h3_cell	https://www.openstreetmap.org/way/297817213	osmplace	891f02a02bbffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
632	located_on_h3_cell	https://www.openstreetmap.org/way/441834798	osmplace	891f0284e07ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
633	located_on_h3_cell	https://www.openstreetmap.org/node/411032475	osmplace	891f02b3597ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
634	located_on_h3_cell	https://www.openstreetmap.org/way/880090079	osmplace	891f02ba1b3ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
635	located_on_h3_cell	https://www.openstreetmap.org/way/880685148	osmplace	891f02bad23ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
636	located_on_h3_cell	891f02baca3ffff	h3place	https://www.openstreetmap.org/way/879263087	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
637	located_on_h3_cell	https://www.openstreetmap.org/relation/5536652	osmplace	891f02ba527ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
638	located_on_h3_cell	891f0284123ffff	h3place	https://www.openstreetmap.org/way/442936882	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
639	hasOSMTag	restaurant	osmtag	891f02869b3ffff	h3place	False		Lifestyle_POS_amenity around (Wismar) radius=15.0	1.0
640	located_on_h3_cell	https://www.openstreetmap.org/relation/11980996	osmplace	891f02b3593ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
641	hasOSMTag	school	osmtag	891f02ba527ffff	h3place	False		Services_POS_amenity around (Wismar) radius=15.0	1.0
642	hasOSMTag	park	osmtag	891f02a332fffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
643	located_on_h3_cell	https://www.openstreetmap.org/relation/11975122	osmplace	891f02a0293ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
644	located_on_h3_cell	https://www.openstreetmap.org/relation/11948212	osmplace	891f02ba677ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
645	hasOSMTag	sports_centre	osmtag	891f02aa137ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
646	located_on_h3_cell	https://www.openstreetmap.org/node/6525619285	osmplace	891f0284313ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
647	located_on_h3_cell	https://www.openstreetmap.org/relation/11990450	osmplace	891f02b952fffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
648	located_on_h3_cell	https://www.openstreetmap.org/way/880685161	osmplace	891f02a354fffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
649	located_on_h3_cell	https://www.openstreetmap.org/way/136516551	osmplace	891f02843dbffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
