	0	1
977	fitness_centre	3
978	891f1a280bbffff	4
979	891f1a65957ffff	4
980	891f1a6281bffff	1
981	891f1a635a7ffff	1
982	891f1a6f19bffff	1
983	891f1a28c93ffff	2
984	891f1a6f573ffff	0
985	891f1a64633ffff	7
986	891f1a66a07ffff	7
987	891f1a64dc7ffff	0
988	891e3498483ffff	0
989	891f1a66967ffff	7
990	891f1a618a3ffff	4
991	891f1a68aafffff	2
992	891e34950a7ffff	2
993	891e34d2a67ffff	4
994	891e349044bffff	4
995	891e3491e37ffff	0
996	891f1a6097bffff	3
997	891e3493173ffff	0
998	891f1a6463bffff	7
999	891e3492663ffff	2
1000	891e349066fffff	2
1001	891f1a6eb4bffff	5
1002	891f02a3107ffff	2
1003	891f1a65913ffff	3
1004	891f1a75acbffff	2
1005	891f1a6e34bffff	7
1006	891f1a6a873ffff	0
1007	891e349666fffff	2
1008	891e349ae63ffff	3
1009	891f02bacd3ffff	2
1010	891f1a6ad0fffff	4
1011	891f1a6c58bffff	0
1012	891f1a2f14fffff	7
1013	891e349a207ffff	0
1014	891f1a64533ffff	5
1015	891e349981bffff	0
1016	891e349212bffff	2
1017	891f1a2dbbbffff	4
1018	miniature_golf	3
1019	891f1a629b3ffff	7
1020	891e349b533ffff	1
1021	891f1a28023ffff	2
1022	891f1a6193bffff	1
