index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
432	located_on_h3_cell	https://www.openstreetmap.org/way/221951797	osmplace	891f1a66177ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
433	located_on_h3_cell	891f1a6e503ffff	h3place	https://www.openstreetmap.org/way/240518142	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
434	hasOSMTag	891f1a66d47ffff	h3place	common	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
435	located_on_h3_cell	https://www.openstreetmap.org/way/388129373	osmplace	891f1a6ec57ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Stollberg) radius=15.0	
436	hasOSMTag	891f1a6453bffff	h3place	school	osmtag	False		Services_POS_amenity around (Stollberg) radius=15.0	1.0
437	located_on_h3_cell	https://www.openstreetmap.org/relation/8277198	osmplace	891e349ae6bffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
438	hasOSMTag	soccer	osmtag	891e349b68bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
439	hasOSMTag	891f1a66d47ffff	h3place	picnic_table	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
440	hasOSMTag	891e3498d4fffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stollberg) radius=15.0	2.0
441	located_on_h3_cell	https://www.openstreetmap.org/node/318383684	osmplace	891f1a66a5bffff	h3place	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
442	hasOSMTag	dentist	osmtag	891e3490687ffff	h3place	False		Services_POS_amenity around (Stollberg) radius=15.0	1.0
443	hasOSMTag	891e3498177ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
