index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
332	hasOSMTag	891f0384903ffff	h3place	track	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
333	hasOSMTag	891f0387063ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
334	hasOSMTag	soccer	osmtag	891f0149003ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
335	hasOSMTag	stop_area	osmtag	891f0387063ffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
336	hasOSMTag	891f0386163ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
337	located_on_h3_cell	891f0386c6fffff	h3place	https://www.openstreetmap.org/way/694091177	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
338	located_on_h3_cell	891f038707bffff	h3place	https://www.openstreetmap.org/way/937784417	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
339	located_on_h3_cell	891f0386833ffff	h3place	https://www.openstreetmap.org/way/242147380	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
340	located_on_h3_cell	https://www.openstreetmap.org/way/242147395	osmplace	891f0386807ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
341	located_on_h3_cell	https://www.openstreetmap.org/way/457753363	osmplace	891f03b011bffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
342	located_on_h3_cell	891f03b2277ffff	h3place	https://www.openstreetmap.org/way/449274530	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
343	located_on_h3_cell	891f014b1dbffff	h3place	https://www.openstreetmap.org/way/449089576	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
344	located_on_h3_cell	891f0149003ffff	h3place	https://www.openstreetmap.org/way/439808813	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
345	located_on_h3_cell	891f03b8407ffff	h3place	https://www.openstreetmap.org/way/262099536	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
346	located_on_h3_cell	891f03868d3ffff	h3place	https://www.openstreetmap.org/way/694091172	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
347	located_on_h3_cell	https://www.openstreetmap.org/way/242147374	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
348	hasOSMTag	891f03876bbffff	h3place	place_of_worship	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
349	hasOSMTag	golf	osmtag	891f03868c7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
350	hasOSMTag	garden	osmtag	891f0386847ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
351	located_on_h3_cell	891f0386163ffff	h3place	https://www.openstreetmap.org/relation/6753625	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
352	hasOSMTag	playground	osmtag	891f014d293ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
353	hasOSMTag	891f014b1dbffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	2.0
354	located_on_h3_cell	891f014d63bffff	h3place	https://www.openstreetmap.org/node/333256891	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
355	located_on_h3_cell	891f03868abffff	h3place	https://www.openstreetmap.org/way/242403097	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
356	located_on_h3_cell	891f0386323ffff	h3place	https://www.openstreetmap.org/way/303347839	osmplace	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
357	located_on_h3_cell	891f03b2a7bffff	h3place	https://www.openstreetmap.org/way/683340621	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
